id,u,v,key,osmid,oneway,highway,length,name,geometry,maxspeed,lanes,ref,bridge,junction,access,tunnel,width
435,336970066,1489591646,0,135660319,True,residential,66.2,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.644059199999999 40.6435449, -8.644250299999999 40.6435131, -8.6448237 40.643411)",50,2,,,,,,
775,506348141,1487492367,0,"[541716006, 269974953, 353879508, 135430902]",True,residential,152.469,"['Avenida Doutor Lourenço Peixinho', 'Rua Viana do Castelo']","LINESTRING (-8.6534408 40.6413575, -8.653411200000001 40.6413998, -8.6533725 40.6414333, -8.653290800000001 40.6414756, -8.653212 40.6415163, -8.6530095 40.6416185, -8.652896 40.6416637, -8.6526301 40.6417186, -8.6521747 40.6418019, -8.6520589 40.6418228, -8.6520043 40.6418338, -8.6518128 40.6418778)",50,2,,,yes,,,
1812,3596764520,5238144388,0,353879481,True,residential,69.51700000000001,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.6510219 40.6420394, -8.650956499999999 40.6420924, -8.650448300000001 40.6421941, -8.6504011 40.6422112, -8.650365900000001 40.6422354, -8.6503628 40.6422453, -8.650342500000001 40.6423114)",50,1,,,,,,
1813,3596764520,1487492372,0,694061063,True,residential,108.575,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.6510219 40.6420394, -8.649908 40.6422586, -8.6497779 40.6422889)",50,2,,,,,,
2749,1489685287,1487492434,0,"[494457233, 496357226]",True,residential,69.506,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.641978 40.6438135, -8.6418821 40.6438333, -8.641426299999999 40.6439247, -8.6412745 40.6439551, -8.6411871 40.6439852)",50,1,,,,,,
3824,4857573216,1487492419,0,"[496357226, 496357227, 496357228]",True,residential,197.582,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.6411833 40.6441282, -8.6412414 40.6441441, -8.641340400000001 40.6441412, -8.6414805 40.6441131, -8.6418961 40.6440297, -8.6431191 40.6437827, -8.643252800000001 40.6437534, -8.643444300000001 40.643706)",50,1,,,,,,
4003,1799590020,1487492388,0,182176861,True,residential,72.276,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.6466501 40.6430508, -8.6467849 40.6430282, -8.647478100000001 40.6428846)",50,2,,,,,,
4739,402740109,1487492360,0,"[496434096, 269974952]",True,residential,120.811,"['Avenida Doutor Lourenço Peixinho', 'Rua Viana do Castelo']","LINESTRING (-8.652018500000001 40.6419725, -8.6520999 40.6419564, -8.6523462 40.6419088, -8.652518300000001 40.6418733, -8.6526484 40.6418452, -8.6527846 40.6418112, -8.6529214 40.6417496, -8.6532559 40.6415716, -8.6533146 40.6415442)",50,2,,,,,,
5087,1487492367,3596764520,0,"[694061064, 496434097]",True,residential,69.112,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.6518128 40.6418778, -8.6512426 40.6419915, -8.6510219 40.6420394)",50,2,,,,,,
5088,1487492372,1487492376,0,694061063,True,residential,49.422,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.6497779 40.6422889, -8.6492097 40.6423969)",50,2,,,,,,
5089,1487492376,402741851,0,135430908,True,residential,99.18599999999998,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.6492097 40.6423969, -8.649108699999999 40.642464, -8.648384 40.6426106, -8.648329800000001 40.6426227, -8.6482391 40.6426528, -8.648220200000001 40.6426776, -8.648171100000001 40.642742)",50,1,,,,,,
5090,1487492376,1487492382,0,694061065,True,residential,97.306,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.6492097 40.6423969, -8.6483685 40.6425738, -8.6483147 40.6425851, -8.648094 40.6426165)",50,2,,,,,,
5095,1487492382,1487492389,0,694040966,True,residential,132.077,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.648094 40.6426165, -8.6472297 40.6427827, -8.646795600000001 40.6428746, -8.6467373 40.6428872, -8.646581100000001 40.6429211)",50,2,,,,,,
5096,1487492388,1487492382,0,135430906,True,residential,63.99999999999999,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.647478100000001 40.6428846, -8.6475556 40.6428203, -8.647993899999999 40.6427351, -8.648054200000001 40.6426956, -8.648094 40.6426165)",50,1,,,,,,
5097,1487492388,402741851,0,182176861,True,residential,60.583,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.647478100000001 40.6428846, -8.647583300000001 40.6428623, -8.648011500000001 40.6427747, -8.648171100000001 40.642742)",50,2,,,,,,
5099,1487492389,1489591645,0,694040966,True,residential,194.757,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.646581100000001 40.6429211, -8.6448897 40.6432686, -8.644656400000001 40.6433095, -8.644349999999999 40.6433698)",50,2,,,,,,
5100,1487492390,336970066,0,"[496358718, 135430909, 135660318, 135430911]",True,residential,622.1400000000001,"['Avenida Vasco Branco', 'Avenida Doutor Lourenço Peixinho']","LINESTRING (-8.637014199999999 40.6429588, -8.637321 40.6430325, -8.637877400000001 40.6432294, -8.6385547 40.6434359, -8.6394068 40.6436469, -8.6410062 40.644022, -8.641219599999999 40.6440449, -8.6413479 40.6440464, -8.6414945 40.6440327, -8.6421207 40.6439049, -8.6433129 40.6436721, -8.643994599999999 40.6435447, -8.644059199999999 40.6435449)",50,1,,,,,yes,
5104,1487492397,1799590020,0,135660319,True,residential,65.525,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.645898600000001 40.6431994, -8.6464999 40.6430815, -8.6466501 40.6430508)",50,2,,,,,,
5108,1487492401,1489685287,0,"[135660316, 496357229, 135430903]",True,residential,181.087,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.6440631 40.643433, -8.643823100000001 40.6434807, -8.643488899999999 40.6435372, -8.6433494 40.643553, -8.6431843 40.6435707, -8.6430752 40.6435927, -8.641978 40.6438135)",50,1,,,,,,
5109,1487492401,1487492391,0,"[135430904, 135430907, 496358717, 135430910]",True,residential,601.554,"['Avenida Vasco Branco', 'Avenida Doutor Lourenço Peixinho']","LINESTRING (-8.6440631 40.643433, -8.6439697 40.6434811, -8.643738600000001 40.6435267, -8.643561200000001 40.6435701, -8.6432878 40.6436241, -8.643227899999999 40.6436362, -8.6430674 40.6436687, -8.6429259 40.6436973, -8.642783700000001 40.643726, -8.6426569 40.6437516, -8.6425483 40.6437736, -8.642447600000001 40.643794, -8.642358700000001 40.6438119, -8.642279800000001 40.6438279, -8.6422139 40.6438412, -8.6421502 40.6438541, -8.642108 40.6438626, -8.6414826 40.643992, -8.6413441 40.6440083, -8.6412245 40.6440054, -8.6410269 40.6439829, -8.6394264 40.6436018, -8.6385732 40.6433936, -8.6379097 40.6431909, -8.637504 40.6430431, -8.637302200000001 40.6429426)",50,1,,,,,yes,
5121,1487492419,336970066,0,493286523,True,residential,55.251000000000005,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.643444300000001 40.643706, -8.6435184 40.6436793, -8.644000200000001 40.6435768, -8.644059199999999 40.6435449)",50,1,,,,,,
5139,1487492434,4857573216,0,496357226,True,residential,17.648,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.6411871 40.6439852, -8.6411576 40.6440184, -8.6411444 40.6440616, -8.6411424 40.6440683, -8.6411833 40.6441282)",50,1,,,,,,
6637,402741851,5238144388,0,135660320,True,residential,189.362,Avenida Doutor Lourenço Peixinho,"LINESTRING (-8.648171100000001 40.642742, -8.6483583 40.6427065, -8.6501603 40.6423476, -8.650212399999999 40.6423372, -8.650342500000001 40.6423114)",50,2,,,,,,
