,my_id,u,v,key,osmid,oneway,highway,length,name,geometry,maxspeed,lanes,ref,bridge,junction,access,tunnel,width
1,307,7347339511,1489672240,0,785972279,True,residential,125.13499999999999,Avenida da Universidade,"LINESTRING (-8.653995999999999 40.6305914, -8.6542335 40.6310131, -8.654608700000001 40.631616)",50,1,,,,,,
2,1073,2482439022,5216169260,0,"[538984331, 493286524]",True,residential,318.693,Avenida da Universidade,"LINESTRING (-8.655738899999999 40.6331415, -8.6556962 40.6330632, -8.655355999999999 40.632469, -8.654793400000001 40.6315519, -8.654311399999999 40.6307664, -8.654177300000001 40.6305322)",50,2,EN 235,,,,,
3,1860,5366334853,1443502582,0,493286528,True,residential,326.08500000000004,Avenida da Universidade,"LINESTRING (-8.654113000000001 40.63059, -8.654730600000001 40.6316219, -8.6548538 40.6318248, -8.655258399999999 40.6324972, -8.655616800000001 40.6330893, -8.6557139 40.633259)",50,2,EN 235,,,,,
4,2216,7370917811,390067648,0,"[493286525, 146226974]",True,residential,652.895,Avenida da Universidade,"LINESTRING (-8.654158499999999 40.6304434, -8.6540518 40.6303435, -8.653199000000001 40.6288732, -8.652685 40.6280206, -8.6525789 40.6278062, -8.6524014 40.6272989, -8.652345499999999 40.6271392, -8.652145600000001 40.626568, -8.6520653 40.6263386, -8.6519312 40.6259553, -8.651692600000001 40.6255971, -8.651463700000001 40.625366, -8.6511163 40.6251145)",50,"['1', '2']",EN 235,,,,,
5,3376,5216169262,2482439022,0,538984332,True,residential,12.067,Avenida da Universidade,"LINESTRING (-8.655800599999999 40.6332394, -8.655738899999999 40.6331415)",50,2,EN 235,,,,,
6,4865,390067184,1443502488,0,146226973,True,residential,75.449,Avenida da Universidade,"LINESTRING (-8.65137 40.6254315, -8.6515465 40.6256104, -8.6516144 40.6256862, -8.651821 40.626014)",50,3,EN 235,,,,,
7,5812,385013746,5216169262,0,"[538984333, 38628967]",True,residential,241.355,Avenida da Universidade,"LINESTRING (-8.655836900000001 40.6351758, -8.6558767 40.6350002, -8.655980899999999 40.6348907, -8.6561655 40.6347212, -8.6562982 40.6345929, -8.6563625 40.6345042, -8.6563984 40.634408, -8.656410899999999 40.6342559, -8.656382900000001 40.6341511, -8.656207 40.63384, -8.6560551 40.6336053, -8.655800599999999 40.6332394)",50,2,EN 235,,,,,
8,5953,1489672240,1443502583,0,785972279,True,residential,201.46999999999997,Avenida da Universidade,"LINESTRING (-8.654608700000001 40.631616, -8.6547342 40.6318174, -8.654864399999999 40.6320546, -8.655299899999999 40.6327753, -8.655490800000001 40.6331287, -8.655541299999999 40.6332222, -8.6555597 40.6332767)",50,1,,,,,,
9,6379,1443502488,1443502491,0,538945663,True,residential,91.939,Avenida da Universidade,"LINESTRING (-8.651821 40.626014, -8.651836400000001 40.6262085, -8.6519613 40.6266193, -8.6520242 40.6268242)",50,1,,,,,,
10,6380,1443502488,7347339529,0,538945664,True,residential,524.124,Avenida da Universidade,"LINESTRING (-8.651821 40.626014, -8.6519415 40.6262214, -8.6521224 40.6267981, -8.6524298 40.6277059, -8.652484599999999 40.6278301, -8.6526072 40.6280582, -8.6527245 40.6282461, -8.6533049 40.629215, -8.653688600000001 40.6298879, -8.6539389 40.630316, -8.653969399999999 40.6303681, -8.653994900000001 40.6304127)",50,2,EN 235,,,,,
11,6387,1443502491,1443502507,0,538945663,True,residential,273.74,Avenida da Universidade,"LINESTRING (-8.6520242 40.6268242, -8.6520694 40.6269718, -8.6522001 40.627358, -8.6522863 40.6275976, -8.652366600000001 40.627799, -8.6524468 40.6279738, -8.6525376 40.6281693, -8.652582499999999 40.6282413, -8.652672300000001 40.628389, -8.652874199999999 40.6287293, -8.6530977 40.6291405)",50,1,,,,,,
12,6410,1443502507,7347339510,0,538945663,True,residential,164.97500000000002,Avenida da Universidade,"LINESTRING (-8.6530977 40.6291405, -8.6532792 40.6294449, -8.653468699999999 40.6297526, -8.6538451 40.6303543, -8.653873000000001 40.6304005, -8.653923600000001 40.6304852)",50,1,,,,,,
13,6518,1443502582,1443502797,0,493286528,True,residential,243.613,Avenida da Universidade,"LINESTRING (-8.6557139 40.633259, -8.6558774 40.6335487, -8.655921299999999 40.6336313, -8.655961400000001 40.6337004, -8.655990600000001 40.6337447, -8.6560202 40.6337972, -8.656050199999999 40.6338511, -8.656072099999999 40.6338871, -8.656231399999999 40.6341464, -8.656262699999999 40.6342544, -8.656260899999999 40.6343801, -8.656227899999999 40.6344673, -8.6561792 40.6345361, -8.6560978 40.6346195, -8.6560565 40.6346654, -8.6560107 40.634706, -8.655934500000001 40.6347851, -8.6557947 40.634926, -8.6555374 40.6351895)",50,2,EN 235,,,,,
