,my_id,u,v,key,osmid,oneway,highway,length,name,geometry,maxspeed,lanes,ref,bridge,junction,access,tunnel,width
1,499,392954258,5237682333,0,"[34262489, 507548450, 95574940]",True,residential,229.689,Avenida 5 de Outubro,"LINESTRING (-8.6465818 40.6421472, -8.646609099999999 40.6420906, -8.6467335 40.6420066, -8.6470061 40.6418707, -8.6471806 40.6417641, -8.647460499999999 40.6415319, -8.6477831 40.6412042, -8.6483454 40.6406485, -8.6483744 40.6406185)",50,2,,,yes,,,
2,522,458580401,1487604442,0,42772834,True,residential,15.304,Avenida 5 de Outubro,"LINESTRING (-8.6487056 40.6401393, -8.648624999999999 40.6402626)",50,1,,,,,,
3,2706,1487604442,392954259,0,"[95574937, 526801778, 95574935]",True,residential,275.024,Avenida 5 de Outubro,"LINESTRING (-8.648624999999999 40.6402626, -8.648279199999999 40.6406091, -8.6477044 40.6411585, -8.647374900000001 40.641492, -8.647201900000001 40.6416453, -8.647108899999999 40.6417138, -8.6469673 40.6417951, -8.646678100000001 40.6419368, -8.646471200000001 40.6420064, -8.6464105 40.6420317)",50,2,,,yes,,,
4,3623,1487572496,1487604442,0,"[135441159, 135441157, 694100494, 135441151]",True,residential,451.798,"['Avenida 5 de Outubro', 'Avenida de Santa Joana']","LINESTRING (-8.6525704 40.6375411, -8.6524704 40.6376893, -8.652301599999999 40.6378314, -8.6520618 40.6380218, -8.6514816 40.6384355, -8.6507828 40.6388691, -8.650456399999999 40.6390546, -8.6495347 40.6396216, -8.649215399999999 40.6398234, -8.6490118 40.639965, -8.6487459 40.6401629, -8.648624999999999 40.6402626)",50,1,,,,,yes,
5,3663,1487572544,5237682298,0,135441163,True,residential,180.54400000000004,Avenida 5 de Outubro,"LINESTRING (-8.6487099 40.6403004, -8.6488911 40.6401791, -8.649028100000001 40.6400773, -8.649280299999999 40.6399032, -8.6495248 40.6397509, -8.6498448 40.6395538, -8.6502236 40.6393192, -8.6503081 40.6392666, -8.6503275 40.6392412)",50,1,,,,,,
6,3664,1487572544,1487572497,0,"[135441153, 135441155, 694100495, 526801775]",True,residential,426.68399999999997,"['Avenida 5 de Outubro', 'Avenida de Santa Joana']","LINESTRING (-8.6487099 40.6403004, -8.648814099999999 40.6401903, -8.649046 40.639997, -8.6492456 40.6398611, -8.649563799999999 40.6396483, -8.650493000000001 40.6390991, -8.650818599999999 40.6389059, -8.651510800000001 40.6384598, -8.6518991 40.6381883, -8.652099700000001 40.6380506, -8.6523047 40.6378966, -8.652490999999999 40.6377643)",50,1,,,,,yes,
7,4016,5237682321,5237764368,0,42772834,True,residential,74.57,Avenida 5 de Outubro,"LINESTRING (-8.6502315 40.6391042, -8.6501866 40.6391346, -8.6500857 40.6392019, -8.6497095 40.6394374, -8.6495572 40.6395376)",50,1,,,,,,
8,4023,5237682332,1487572544,0,694040969,True,residential,25.899,Avenida 5 de Outubro,"LINESTRING (-8.648517699999999 40.640482, -8.6485916 40.6404122, -8.6487099 40.6403004)",50,2,,,,,,
9,4024,5237682333,5237682332,0,507548450,True,residential,19.405,Avenida 5 de Outubro,"LINESTRING (-8.6483744 40.6406185, -8.648517699999999 40.640482)",50,2,,,,,,
10,4147,5237764368,458580401,0,42772834,True,residential,98.382,Avenida 5 de Outubro,"LINESTRING (-8.6495572 40.6395376, -8.649157600000001 40.6397849, -8.648925200000001 40.6399548, -8.6487056 40.6401393)",50,1,,,,,,
