,my_id,u,v,key,osmid,oneway,highway,length,name,geometry,maxspeed,lanes,ref,bridge,junction,access,tunnel,width
1,56,2516017222,2745010111,0,441504175,,50,residential,True,41.188,"LINESTRING (-8.648952299999999 40.6254993, -8.649217200000001 40.6251882)",2,EN 109,,,,,
2,241,1489699013,390280658,0,30008054,,50,residential,True,47.94500000000001,"LINESTRING (-8.6315071 40.6403997, -8.6314019 40.6404522, -8.6313263 40.6405057, -8.6312414 40.6405834, -8.6311894 40.6406504, -8.6311423 40.6407203)",3,EN 109,,roundabout,,,
3,248,1489699016,330341306,0,30008054,,50,residential,True,5.335,"LINESTRING (-8.632072300000001 40.6404904, -8.6320415 40.6404485)",3,EN 109,,roundabout,,,
4,267,1489699028,1489699016,0,30008054,,50,residential,True,33.457,"LINESTRING (-8.632087 40.640786, -8.632112299999999 40.6406345, -8.6320985 40.6405458, -8.632072300000001 40.6404904)",3,EN 109,,roundabout,,,
5,371,1650475303,1242340713,0,309845007,,50,residential,False,80.592,"LINESTRING (-8.614388099999999 40.6596495, -8.614875899999999 40.6590263)",2,EN 109,EN 16,,,,
6,373,1650475303,1678492627,0,"[309845008, 309845009, 173039148, 309845007]",,50,residential,False,480.96299999999997,"LINESTRING (-8.614388099999999 40.6596495, -8.6134337 40.6609682, -8.6131601 40.6613457, -8.613039300000001 40.6615123, -8.612853400000001 40.6617571, -8.6127521 40.6618949, -8.612270199999999 40.66255, -8.6121748 40.6626796, -8.6118766 40.6630877, -8.6118256 40.6631575, -8.6117144 40.6633061, -8.6116878 40.6633409, -8.6116206 40.6634312)",2,EN 109,EN 16,,,,
7,403,1700602178,384987364,0,236253623,Rua da República,50,residential,False,30.296,"LINESTRING (-8.5975608 40.6784959, -8.5976125 40.6784579, -8.5978086 40.6782987)",2,EN 109,EN 16,,,,
8,404,1700602178,384987357,0,240178185,Rua da República,50,residential,False,43.117,"LINESTRING (-8.5975608 40.6784959, -8.5974156 40.6785804, -8.5971174 40.6786845)",2,EN 109,EN 16,,,,
9,504,1650475420,384987412,0,152213787,Rotunda da Junqueira,50,residential,True,40.518,"LINESTRING (-8.610967799999999 40.6637451, -8.610955499999999 40.6637964, -8.610958399999999 40.6638477, -8.6109768 40.6638983, -8.6110086 40.6639433, -8.611053699999999 40.6639826, -8.6111085 40.6640129, -8.6111738 40.6640339)",2,EN 109,EN 16,,roundabout,,
10,526,1650475444,1563523029,0,152213787,Rotunda da Junqueira,50,residential,True,40.341,"LINESTRING (-8.6114841 40.6639684, -8.611523699999999 40.6639275, -8.6115514 40.663879, -8.6115637 40.6638282, -8.611560799999999 40.6637763, -8.6115429 40.6637267, -8.6115104 40.6636806, -8.6114654 40.6636415)",2,EN 109,EN 16,,roundabout,,
11,667,5695373881,1468363325,0,549517177,Rua 31 de Janeiro,50,residential,False,382.945,"LINESTRING (-8.588498599999999 40.6802128, -8.5896942 40.679995, -8.5927179 40.6794587, -8.5929188 40.6794231)",2,EN 109,EN 16,,,,
12,682,5695373882,5695373884,0,598399300,Rua 31 de Janeiro,50,residential,False,183.325,"LINESTRING (-8.5883197 40.6802428, -8.587538199999999 40.6803569, -8.5861974 40.6805986)",2,EN 109,EN 16,,,,
13,690,5695373884,5695373882,0,598399300,Rua 31 de Janeiro,50,residential,False,183.325,"LINESTRING (-8.5861974 40.6805986, -8.587538199999999 40.6803569, -8.5883197 40.6802428)",2,EN 109,EN 16,,,,
14,971,2460844821,1604812147,0,480672087,,50,residential,False,40.169,"LINESTRING (-8.6563053 40.6153796, -8.656432499999999 40.6150315)",2,EN 109,,,,,
15,972,2460844821,534789207,0,480672087,,50,residential,False,14.267,"LINESTRING (-8.6563053 40.6153796, -8.656260899999999 40.6155034)",2,EN 109,,,,,
16,1179,1678492627,1563523029,0,173039148,,50,residential,False,26.799,"LINESTRING (-8.6116206 40.6634312, -8.6114654 40.6636415)",2,EN 109,EN 16,,,,
17,1181,1678492627,1650475303,0,"[309845008, 309845009, 173039148, 309845007]",,50,residential,False,480.963,"LINESTRING (-8.6116206 40.6634312, -8.6116878 40.6633409, -8.6117144 40.6633061, -8.6118256 40.6631575, -8.6118766 40.6630877, -8.6121748 40.6626796, -8.612270199999999 40.66255, -8.6127521 40.6618949, -8.612853400000001 40.6617571, -8.613039300000001 40.6615123, -8.6131601 40.6613457, -8.6134337 40.6609682, -8.614388099999999 40.6596495)",2,EN 109,EN 16,,,,
18,1502,1604822193,4736412821,0,239807821,,50,residential,False,197.447,"LINESTRING (-8.6537975 40.6198212, -8.6551037 40.6183481)",2,EN 109,,,,,
19,1504,1604822193,1604822215,0,239807821,,50,residential,False,149.939,"LINESTRING (-8.6537975 40.6198212, -8.653023900000001 40.6207127, -8.6528203 40.6209473)",2,EN 109,,,,,
20,1532,1604822215,534789211,0,239807821,,50,residential,False,190.785,"LINESTRING (-8.6528203 40.6209473, -8.651588200000001 40.6223858)",2,EN 109,,,,,
21,1534,1604822215,1604822193,0,239807821,,50,residential,False,149.939,"LINESTRING (-8.6528203 40.6209473, -8.653023900000001 40.6207127, -8.6537975 40.6198212)",2,EN 109,,,,,
22,1763,3783345499,1110673519,0,55652713,,50,residential,True,173.448,"LINESTRING (-8.6241428 40.6489891, -8.6252716 40.6476854)",2,EN 109,EN 16,,,,
23,1994,404735527,1406433848,0,33653989,,50,residential,True,61.957,"LINESTRING (-8.6339159 40.6381586, -8.634324400000001 40.6376956)",1,EN 109,,,,,
24,2073,2515674868,6806729735,0,244232012,,50,residential,True,135.07299999999998,"LINESTRING (-8.6495541 40.6246619, -8.649508600000001 40.6247568, -8.6486901 40.6256812)",1,EN 109,,,,,
25,2204,2745010111,1489591519,0,"[507548443, 42769101, 172518590]",,50,residential,True,137.06199999999998,"LINESTRING (-8.649217200000001 40.6251882, -8.6496815 40.624648, -8.6499632 40.6243318, -8.650140800000001 40.6241761)","['1', '2']",EN 109,yes,,,,
26,2320,1110673519,1110673552,0,"[55652713, 95803794, 95803790]",,50,residential,True,264.954,"LINESTRING (-8.6252716 40.6476854, -8.6259975 40.6468891, -8.6263424 40.6465088, -8.6268134 40.6459829, -8.6270562 40.6457248)",2,EN 109,EN 16,,,,yes
27,2325,1110673533,1315886939,0,"[95841108, 601812374, 601812375]",,50,residential,True,291.282,"LINESTRING (-8.621733900000001 40.6514105, -8.6213607 40.6518394, -8.6209899 40.6522703, -8.6206704 40.6526196, -8.620088000000001 40.65328, -8.6198143 40.6535878)","['1', '2']",EN 109,EN 16,,,,
28,2331,1110673552,330341308,0,95841133,,50,residential,True,634.716,"LINESTRING (-8.6270562 40.6457248, -8.627202499999999 40.6455393, -8.627371399999999 40.6453495, -8.628136700000001 40.6444898, -8.6291066 40.6434282, -8.630240799999999 40.6422015, -8.6303369 40.6420977, -8.630427900000001 40.6419993, -8.6305076 40.6419131, -8.6305865 40.6418278, -8.6306572 40.6417513, -8.6307189 40.6416845, -8.6307755 40.6416233, -8.6308334 40.6415614, -8.630873899999999 40.6415136, -8.6309182 40.6414624, -8.631012699999999 40.6413501, -8.6312088 40.6412538, -8.6313263 40.6412172, -8.631481000000001 40.641166)",2,EN 109,EN 16,,,,
