,my_id,u,v,key,osmid,oneway,highway,length,name,geometry,maxspeed,lanes,ref,bridge,junction,access,tunnel,width
1,59,2516017222,2745010111,0,441504175,True,residential,41.188,,"LINESTRING (-8.648952299999999 40.6254993, -8.649217200000001 40.6251882)",50,2,EN 109,,,,,
2,251,1489699013,390280658,0,30008054,True,residential,47.94500000000001,,"LINESTRING (-8.6315071 40.6403997, -8.6314019 40.6404522, -8.6313263 40.6405057, -8.6312414 40.6405834, -8.6311894 40.6406504, -8.6311423 40.6407203)",50,3,EN 109,,,roundabout,,
3,258,1489699016,330341306,0,30008054,True,residential,5.335,,"LINESTRING (-8.632072300000001 40.6404904, -8.6320415 40.6404485)",50,3,EN 109,,,roundabout,,
4,277,1489699028,1489699016,0,30008054,True,residential,33.457,,"LINESTRING (-8.632087 40.640786, -8.632112299999999 40.6406345, -8.6320985 40.6405458, -8.632072300000001 40.6404904)",50,3,EN 109,,,roundabout,,
5,379,1650475303,1242340713,0,309845007,False,residential,80.592,,"LINESTRING (-8.614388099999999 40.6596495, -8.614875899999999 40.6590263)",50,2,EN 109,EN 16,,,,
6,381,1650475303,1678492627,0,"[309845008, 309845009, 173039148, 309845007]",False,residential,480.96299999999997,,"LINESTRING (-8.614388099999999 40.6596495, -8.6134337 40.6609682, -8.6131601 40.6613457, -8.613039300000001 40.6615123, -8.612853400000001 40.6617571, -8.6127521 40.6618949, -8.612270199999999 40.66255, -8.6121748 40.6626796, -8.6118766 40.6630877, -8.6118256 40.6631575, -8.6117144 40.6633061, -8.6116878 40.6633409, -8.6116206 40.6634312)",50,2,EN 109,EN 16,,,,
7,410,1700602178,384987364,0,236253623,False,residential,30.296,Rua da República,"LINESTRING (-8.5975608 40.6784959, -8.5976125 40.6784579, -8.5978086 40.6782987)",50,2,EN 109,EN 16,,,,
8,411,1700602178,384987357,0,240178185,False,residential,43.117,Rua da República,"LINESTRING (-8.5975608 40.6784959, -8.5974156 40.6785804, -8.5971174 40.6786845)",50,2,EN 109,EN 16,,,,
11,674,5695373881,1468363325,0,549517177,False,residential,382.945,Rua 31 de Janeiro,"LINESTRING (-8.588498599999999 40.6802128, -8.5896942 40.679995, -8.5927179 40.6794587, -8.5929188 40.6794231)",50,2,EN 109,EN 16,,,,
12,689,5695373882,5695373884,0,598399300,False,residential,183.325,Rua 31 de Janeiro,"LINESTRING (-8.5883197 40.6802428, -8.587538199999999 40.6803569, -8.5861974 40.6805986)",50,2,EN 109,EN 16,,,,
14,974,2460844821,1604812147,0,480672087,False,residential,40.169,,"LINESTRING (-8.6563053 40.6153796, -8.656432499999999 40.6150315)",50,2,EN 109,,,,,
15,975,2460844821,534789207,0,480672087,False,residential,14.267,,"LINESTRING (-8.6563053 40.6153796, -8.656260899999999 40.6155034)",50,2,EN 109,,,,,
16,1190,1678492627,1563523029,0,173039148,False,residential,26.799,,"LINESTRING (-8.6116206 40.6634312, -8.6114654 40.6636415)",50,2,EN 109,EN 16,,,,
17,1192,1678492627,1650475303,0,"[309845008, 309845009, 173039148, 309845007]",False,residential,480.963,,"LINESTRING (-8.6116206 40.6634312, -8.6116878 40.6633409, -8.6117144 40.6633061, -8.6118256 40.6631575, -8.6118766 40.6630877, -8.6121748 40.6626796, -8.612270199999999 40.66255, -8.6127521 40.6618949, -8.612853400000001 40.6617571, -8.613039300000001 40.6615123, -8.6131601 40.6613457, -8.6134337 40.6609682, -8.614388099999999 40.6596495)",50,2,EN 109,EN 16,,,,
