,my_id,u,v,key,osmid,oneway,highway,length,name,geometry,maxspeed,lanes,ref,bridge,junction,access,tunnel,width
1,59,2516017222,2745010111,0,441504175,True,residential,41.188,,"LINESTRING (-8.648952299999999 40.6254993, -8.649217200000001 40.6251882)",50,2,EN 109,,,,,
2,251,1489699013,390280658,0,30008054,True,residential,47.94500000000001,,"LINESTRING (-8.6315071 40.6403997, -8.6314019 40.6404522, -8.6313263 40.6405057, -8.6312414 40.6405834, -8.6311894 40.6406504, -8.6311423 40.6407203)",50,3,EN 109,,,roundabout,,
3,258,1489699016,330341306,0,30008054,True,residential,5.335,,"LINESTRING (-8.632072300000001 40.6404904, -8.6320415 40.6404485)",50,3,EN 109,,,roundabout,,
4,277,1489699028,1489699016,0,30008054,True,residential,33.457,,"LINESTRING (-8.632087 40.640786, -8.632112299999999 40.6406345, -8.6320985 40.6405458, -8.632072300000001 40.6404904)",50,3,EN 109,,,roundabout,,
26,1779,3783345499,1110673519,0,55652713,True,residential,173.448,,"LINESTRING (-8.6241428 40.6489891, -8.6252716 40.6476854)",50,2,EN 109,EN 16,,,,
27,2011,404735527,1406433848,0,33653989,True,residential,61.957,,"LINESTRING (-8.6339159 40.6381586, -8.634324400000001 40.6376956)",50,1,EN 109,,,,,
28,2093,2515674868,6806729735,0,244232012,True,residential,93.701,,"LINESTRING (-8.649454 40.6247711, -8.649311600000001 40.6249506, -8.6491674 40.6251231, -8.6488593 40.6254826)",50,1,EN 109,,,,,
29,2235,2745010111,1489591519,0,"[507548443, 42769101, 172518590]",True,residential,137.016,,"LINESTRING (-8.649217200000001 40.6251882, -8.6496815 40.624648, -8.649910800000001 40.6243915, -8.650140800000001 40.6241761)",50,"['2', '1']",EN 109,,yes,,,
30,2351,1110673519,1110673552,0,"[55652713, 95803794, 95803790]",True,residential,262.757,,"LINESTRING (-8.6252716 40.6476854, -8.6259975 40.6468891, -8.6263424 40.6465088, -8.6268134 40.6459829, -8.627023899999999 40.6457321)",50,2,EN 109,EN 16,,,,yes
31,2356,1110673533,1315886939,0,"[95841108, 601812374, 601812375]",True,residential,291.282,,"LINESTRING (-8.621733900000001 40.6514105, -8.6213607 40.6518394, -8.6209899 40.6522703, -8.6206704 40.6526196, -8.620088000000001 40.65328, -8.6198143 40.6535878)",50,"['1', '2']",EN 109,EN 16,,,,
32,2362,1110673552,330341308,0,95841133,True,residential,636.8820000000001,,"LINESTRING (-8.627023899999999 40.6457321, -8.627202499999999 40.6455393, -8.628136700000001 40.6444898, -8.6291066 40.6434282, -8.630240799999999 40.6422015, -8.6303369 40.6420977, -8.630427900000001 40.6419993, -8.6305076 40.6419131, -8.6305865 40.6418278, -8.6306572 40.6417513, -8.6307189 40.6416845, -8.6307755 40.6416233, -8.6308334 40.6415614, -8.630873899999999 40.6415136, -8.6309182 40.6414624, -8.631012699999999 40.6413501, -8.6312088 40.6412538, -8.6313263 40.6412172, -8.631481000000001 40.641166)",50,2,EN 109,EN 16,,,,
37,2431,1110673632,1558059146,0,"[601131929, 95841110]",True,residential,144.19400000000002,,"LINESTRING (-8.617408299999999 40.6562812, -8.617789999999999 40.6559053, -8.618117700000001 40.6555694, -8.618172400000001 40.655509, -8.6184055 40.6552291)",50,"['2', '1']",EN 109,EN 16,,,,
