,name,geometry,maxspeed
0,Rua Américo Ramalho,"LINESTRING (-8.633970100000001 40.6489097, -8.633684799999999 40.6492535, -8.63363 40.6493297, -8.633529599999999 40.6494572, -8.633642099999999 40.6495722, -8.6340301 40.649799, -8.6340992 40.6498278, -8.634181099999999 40.6498346)",50
1,,"LINESTRING (-8.633970100000001 40.6489097, -8.6340065 40.6488628, -8.634016600000001 40.64883, -8.6340252 40.6487819, -8.6340295 40.6487371, -8.634016600000001 40.6486835, -8.6339939 40.648659)",50
2,Rua da Alegria,"LINESTRING (-8.621782100000001 40.6606505, -8.6220857 40.6600751, -8.622143299999999 40.6599717, -8.622198600000001 40.6598975, -8.622301200000001 40.6597598, -8.6224746 40.6595543, -8.622526799999999 40.6594903, -8.6226061 40.659393)",40
3,Rua das Flores,"LINESTRING (-8.621782100000001 40.6606505, -8.621901899999999 40.6607054, -8.6219824 40.6608031, -8.6220575 40.6609048, -8.6221326 40.6610065, -8.622202400000001 40.6611042, -8.622267000000001 40.6612154, -8.6223204 40.6613199, -8.622374000000001 40.6614216, -8.622432999999999 40.6615355, -8.6224759 40.6616251, -8.622524200000001 40.6617309, -8.6225582 40.6618225)",50
4,,"LINESTRING (-8.621782100000001 40.6606505, -8.621746399999999 40.6607095, -8.6216498 40.6609007, -8.6215113 40.6611511, -8.6213301 40.661479, -8.6211992 40.6616942, -8.6210597 40.6619506, -8.6208741 40.6621423, -8.620729300000001 40.6623091, -8.620672600000001 40.6623695, -8.6206789 40.6623901, -8.6206038 40.6625122, -8.6205555 40.6626383, -8.620522599999999 40.6628035, -8.620395 40.6634433, -8.6203725 40.6635563, -8.6203368 40.6638066, -8.6203141 40.6639323)",40
5,Rua Abel Ribeiro,"LINESTRING (-8.656887299999999 40.6430519, -8.6566832 40.6431562)",50
6,Rua das Rodas,"LINESTRING (-8.5336347 40.5894526, -8.5336415 40.589353, -8.5337075 40.5891682, -8.5339796 40.5888404, -8.5340559 40.5882661, -8.534193999999999 40.5881207, -8.534833799999999 40.5876736, -8.5351827 40.5873065, -8.5358447 40.5869685)",50
7,Rua das Rodas,"LINESTRING (-8.5336347 40.5894526, -8.5336088 40.5898328, -8.5334962 40.590218, -8.5333726 40.5903816, -8.532629500000001 40.5907831)",50
8,Rua do Quinchoso,"LINESTRING (-8.5336347 40.5894526, -8.533716099999999 40.5894226, -8.5339331 40.5893428, -8.534136999999999 40.5892817, -8.5344353 40.5892175, -8.534918100000001 40.589079, -8.5352721 40.5890057, -8.5355156 40.5889436, -8.5361244 40.5886304)",50
9,Avenida Manuel Maria da Rocha Colmieiro,"LINESTRING (-8.6339939 40.648659, -8.634006299999999 40.6486426, -8.634278999999999 40.6482814, -8.6344539 40.6480248, -8.634576900000001 40.647745, -8.6346667 40.6474504, -8.6346784 40.6474078, -8.6347223 40.6472755)",50
10,Estrada de Santiago,"LINESTRING (-8.6570514 40.6317887, -8.657023300000001 40.6318628, -8.6565733 40.6323597, -8.6565463 40.6323904, -8.6558311 40.6330931, -8.655785 40.6331173, -8.655738899999999 40.6331415)",50
11,"['Avenida João Jacinto Magalhães', 'Estrada de Santiago']","LINESTRING (-8.6570514 40.6317887, -8.657097200000001 40.6317514, -8.657195700000001 40.6316712, -8.6572443 40.6316317, -8.657296199999999 40.6315831, -8.6577144 40.6318779, -8.6579376 40.6320352, -8.6583503 40.6323423, -8.658523600000001 40.6324853, -8.6586502 40.6326641, -8.6587462 40.6329036, -8.658754 40.6329597, -8.658768800000001 40.6330654, -8.6587402 40.633296, -8.6586195 40.6335362, -8.6586067 40.6335555, -8.6584462 40.6337159, -8.6583883 40.6337738, -8.657992200000001 40.6340763, -8.6576305 40.634357, -8.657551 40.6344182)",50
12,Rua de Santiago,"LINESTRING (-8.6570514 40.6317887, -8.6569857 40.631716, -8.6566267 40.6314477, -8.6566049 40.6314314, -8.656575699999999 40.6314096, -8.6565437 40.6313854, -8.656321699999999 40.6312174, -8.6560124 40.6309834, -8.6558434 40.6308587, -8.655735399999999 40.6307799, -8.6557019 40.6307539, -8.655667899999999 40.6307274, -8.655391699999999 40.6305167, -8.655230400000001 40.6303987, -8.6550814 40.6302739, -8.654987 40.6301596, -8.6549251 40.6300562, -8.6548842 40.6299575)",50
13,Rua Américo Ramalho,"LINESTRING (-8.637188800000001 40.6480709, -8.636706200000001 40.6484054)",50
14,,"LINESTRING (-8.637188800000001 40.6480709, -8.6370512 40.6479587)",50
15,Rua Américo Ramalho,"LINESTRING (-8.637188800000001 40.6480709, -8.6372515 40.6480275, -8.6373172 40.6479673, -8.6373193 40.647848)",50
16,,"LINESTRING (-8.6370512 40.6479587, -8.637188800000001 40.6480709)",50
17,Rua Engenheiro Robert Erick Zipprich,"LINESTRING (-8.602767 40.6385826, -8.6029135 40.6386256)",50
18,Rua de São João,"LINESTRING (-8.602767 40.6385826, -8.602816300000001 40.6385215, -8.6029657 40.6383365, -8.6031111 40.6381755, -8.6032929 40.6379742, -8.6042317 40.6369932, -8.6046716 40.6367163, -8.604934500000001 40.6365901, -8.605476299999999 40.636525, -8.605787400000001 40.6364273)",50
19,Rua Engenheiro Robert Erick Zipprich,"LINESTRING (-8.602767 40.6385826, -8.6022347 40.6384315, -8.601539000000001 40.6382258, -8.6008148 40.638016)",50
20,Rua dos Arrais,"LINESTRING (-8.6570111 40.6432102, -8.6565183 40.6434719)",50
21,Travessa das Falcoieras,"LINESTRING (-8.6570111 40.6432102, -8.656887299999999 40.6430519)",50
22,Travessa das Falcoeiras,"LINESTRING (-8.6570111 40.6432102, -8.657196900000001 40.6434349, -8.657242699999999 40.643489)",50
23,,"LINESTRING (-8.599824099999999 40.6828839, -8.5997281 40.6828085, -8.5996188 40.6827895)",50
24,,"LINESTRING (-8.599824099999999 40.6828839, -8.5998702 40.6827567, -8.599913600000001 40.6826215)",50
25,Rua Francisco Manuel Couceiro da Costa,"LINESTRING (-8.6226638 40.6904824, -8.6215557 40.6899647)",50
26,Rua das Cercas,"LINESTRING (-8.6226638 40.6904824, -8.6224063 40.6908688, -8.6223878 40.6910646, -8.6224682 40.6915812, -8.6224705 40.6927438, -8.622491999999999 40.6928536)",50
27,Rua Morgado de Vilarinho,"LINESTRING (-8.6226638 40.6904824, -8.623086900000001 40.6906852, -8.6232264 40.6907829, -8.6233659 40.6909049, -8.6234839 40.6910025, -8.6236234 40.6911571, -8.623677000000001 40.6912547, -8.6236985 40.6914093, -8.623732800000001 40.691609)",50
28,Rua de São João,"LINESTRING (-8.605787400000001 40.6364273, -8.605476299999999 40.636525, -8.604934500000001 40.6365901, -8.6046716 40.6367163, -8.6042317 40.6369932, -8.6032929 40.6379742, -8.6031111 40.6381755, -8.6029657 40.6383365, -8.602816300000001 40.6385215, -8.602767 40.6385826)",50
29,Rua de São João,"LINESTRING (-8.605787400000001 40.6364273, -8.605829200000001 40.6357335, -8.6059214 40.6355277, -8.6067476 40.6343715)",50
30,Rua de Santa Joana,"LINESTRING (-8.605787400000001 40.6364273, -8.6060234 40.6364843, -8.6063668 40.6366553, -8.606716799999999 40.6368659)",50
31,Rotunda do Marnoto,"LINESTRING (-8.659274699999999 40.6419521, -8.659346899999999 40.6418637)",50
32,Rua dos Bombeiros da Celulose,"LINESTRING (-8.5965001 40.6841955, -8.596821200000001 40.6841858, -8.5968848 40.6841812)",50
33,Rua dos Bombeiros da Celulose,"LINESTRING (-8.5965001 40.6841955, -8.5959 40.6844035, -8.5956057 40.6844965, -8.5946371 40.6847246, -8.594072799999999 40.684859, -8.5935966 40.6849724, -8.5930921 40.6850846)",50
34,Rua da Alegria,"LINESTRING (-8.623187 40.6583443, -8.623222500000001 40.6582184, -8.623227 40.6581975, -8.623291800000001 40.6578995, -8.623351100000001 40.6576265, -8.623373000000001 40.6575594, -8.623505700000001 40.6571529, -8.6236195 40.6568337, -8.623658499999999 40.6567286)",40
35,Rua da Alegria,"LINESTRING (-8.623187 40.6583443, -8.623146999999999 40.6584351, -8.623107600000001 40.6585247, -8.6230115 40.6586847, -8.623000899999999 40.6587029, -8.6229096 40.6588599, -8.6227827 40.6590864)",40
36,,"LINESTRING (-8.623187 40.6583443, -8.622524200000001 40.6581253, -8.6224867 40.6580914, -8.6224974 40.6578893)",20
37,,"LINESTRING (-8.6032207 40.6890756, -8.6031054 40.6889861, -8.602829099999999 40.6888519, -8.6025528 40.6887197, -8.6022575 40.6885828)",50
38,Rua João Simões Costa,"LINESTRING (-8.6032207 40.6890756, -8.603482400000001 40.6890259, -8.6036549 40.6890011, -8.6037917 40.6889933, -8.6038882 40.6890177, -8.6040078 40.6890546, -8.6041521 40.689127)",50
39,Rua Doutor Marques da Costa,"LINESTRING (-8.6032207 40.6890756, -8.603457799999999 40.6889227, -8.6041682 40.6884644, -8.6046584 40.6881482, -8.6047431 40.6881078, -8.605256199999999 40.6878628, -8.6056881 40.687602)",50
40,Rua Doutor Marques da Costa,"LINESTRING (-8.6032207 40.6890756, -8.6029442 40.6892052, -8.602649100000001 40.6892987)",50
41,Rua Engenheiro João Coutinho de Lima,"LINESTRING (-8.6382578 40.6432442, -8.6379698 40.643162, -8.637302200000001 40.6429426)",50
42,Rua General José Domingues Peres,"LINESTRING (-8.6382578 40.6432442, -8.6382844 40.6431905, -8.638311 40.6431367, -8.638693099999999 40.6423649, -8.638749000000001 40.642252)",50
43,Rua das Cercas,"LINESTRING (-8.622491999999999 40.6928536, -8.622521900000001 40.692895, -8.6231305 40.6930815, -8.6237128 40.6933302, -8.6240293 40.6936515, -8.624721299999999 40.6947416, -8.624935900000001 40.6949164)",50
44,Rua das Cercas,"LINESTRING (-8.622491999999999 40.6928536, -8.6224705 40.6927438, -8.6224682 40.6915812, -8.6223878 40.6910646, -8.6224063 40.6908688, -8.6226638 40.6904824)",50
45,Rua do Salgueiral,"LINESTRING (-8.622491999999999 40.6928536, -8.6222718 40.6928493, -8.622187800000001 40.6928292, -8.622091299999999 40.6927763, -8.622019699999999 40.6927151, -8.6219357 40.6926299, -8.621807 40.6924916, -8.6216568 40.6923452, -8.6214671 40.6922108, -8.6212579 40.6920603, -8.621097000000001 40.6919423, -8.6209843 40.6918854, -8.6207663 40.6918123, -8.620378199999999 40.6916942, -8.6201314 40.6915722, -8.619934799999999 40.6914707, -8.619793400000001 40.6913769, -8.619729100000001 40.6913078, -8.619677299999999 40.6912104, -8.6197076 40.6910271, -8.6197953 40.6909175, -8.6199402 40.6907507, -8.620093799999999 40.6905838, -8.6202442 40.6904485)",50
46,Rua Doutor António Christo,"LINESTRING (-8.652646600000001 40.643112, -8.652657 40.6430686, -8.6527364 40.6429013)",50
47,,"LINESTRING (-8.626016099999999 40.6638174, -8.6260493 40.6636049, -8.6261259 40.663369)",50
48,Rua dos Bombeiros da Celulose,"LINESTRING (-8.5897769 40.6844338, -8.589675099999999 40.6844488, -8.5895569 40.6844663, -8.589028600000001 40.6845904, -8.588282899999999 40.6847571, -8.5880388 40.6847775, -8.5877438 40.6847246, -8.587480899999999 40.684627, -8.5872207 40.6844358)",50
49,Rua dos Bombeiros da Celulose,"LINESTRING (-8.5872207 40.6844358, -8.587480899999999 40.684627, -8.5877438 40.6847246, -8.5880388 40.6847775, -8.588282899999999 40.6847571, -8.589028600000001 40.6845904, -8.5895569 40.6844663, -8.589675099999999 40.6844488, -8.5897769 40.6844338)",50
50,Rua dos Bombeiros da Celulose,"LINESTRING (-8.5872207 40.6844358, -8.587081299999999 40.6841388, -8.586963300000001 40.6837646, -8.5867728 40.6830425, -8.586445599999999 40.6817713, -8.5861666 40.680801, -8.5861328 40.6806832)",50
51,Rua dos Bombeiros da Celulose,"LINESTRING (-8.5872207 40.6844358, -8.587465999999999 40.685362, -8.587548099999999 40.6856721)",50
52,Rua Capitão Acácio,"LINESTRING (-8.6197751 40.6367996, -8.618990500000001 40.6373544)",50
53,Rua do Viso,"LINESTRING (-8.6197751 40.6367996, -8.619942099999999 40.6369738, -8.620243 40.6372877, -8.6203322 40.6373807, -8.6204246 40.6374771)",50
54,Rua do Viso,"LINESTRING (-8.6197751 40.6367996, -8.619218999999999 40.6362267, -8.6191756 40.636182, -8.6191326 40.6361376, -8.6190538 40.6360565, -8.6188716 40.6359394)",50
55,Rua do Monte do Paço,"LINESTRING (-8.6233612 40.666398, -8.6222358 40.6666744)",50
